wiki_movie_id,freebase_movie_id,character_name,actor_gender,actor_height,actor_ethnicity_id,actor_name,freebase_map_id,freebase_character_id,freebase_actor_id,actor_dob,movie_release_date,ethn_name,race,character_description,actor_description
Wikipedia movie ID,Freebase movie ID,Character name,Actor gender,Actor height (in meters),Actor ethnicity (Freebase ID),Actor name,Freebase character/actor map ID,Freebase character ID,Freebase actor ID,actor_date_of_birth,movie_release_date,ethn_name,race,,
975900,/m/03vyhn,Akooshay,F,1.62,,Wanda De Jesus,/m/0bgchxw,/m/0bgcj3x,/m/03wcfv7,1958-08-26,2001-08-24,,,,"Wanda De Jesus (born August 26, 1958) is an American character actress."
975900,/m/03vyhn,Lieutenant Melanie Ballard,F,1.78,/m/044038p,Natasha Henstridge,/m/0jys3m,/m/0bgchn4,/m/0346l4,1974-08-15,2001-08-24,,,,"Natasha Tonya Henstridge (born August 15, 1974) is a Canadian actress. In 1995, she rose to prominence with her debut role in the science-fiction horror film Species, followed by performances in Speci..."
975900,/m/03vyhn,Desolation Williams,M,1.727,/m/0x67,Ice Cube,/m/0jys3g,/m/0bgchn_,/m/01vw26l,1969-06-15,2001-08-24,African American,African,,"O'Shea Jackson Sr. (born June 15, 1969), known professionally as Ice Cube, is an American rapper, songwriter, actor, and film producer. His lyrics on N.W.A's 1988 album Straight Outta Compton contribu..."
975900,/m/03vyhn,Sgt Jericho Butler,M,1.75,,Jason Statham,/m/02vchl6,/m/0bgchnq,/m/034hyc,1967-09-12,2001-08-24,,,,"Jason Statham ( STAY-thəm; born 26 July 1967) is an English actor, producer, and former model and diver. He is known for portraying tough, gritty, or violent characters in various action thriller film..."
975900,/m/03vyhn,Bashira Kincaid,F,1.65,,Clea DuVall,/m/02vbb3r,/m/0bgchp9,/m/01y9xg,1977-09-25,2001-08-24,,,,"Clea Helen D'Etienne DuVall (born September 25, 1977) is an American actress, director and screenwriter. Her film appearances include The Faculty (1998); But I'm a Cheerleader; Girl, Interrupted (both..."
975900,/m/03vyhn,Commander Helena Braddock,F,1.727,/m/0x67,Pam Grier,/m/02vdcfp,/m/0bgchnd,/m/0418ft,1949-05-26,2001-08-24,African American,African,,"Pamela Suzette Grier (born May 26, 1949) is an American actress, singer, and martial artist. Described by Quentin Tarantino as cinema's first female action star (although, many believe Cheng Pei-pei a..."
975900,/m/03vyhn,Whitlock,F,1.753,,Joanna Cassidy,/m/02vd6kw,/m/0bgchmx,/m/06lj1m,1945-08-02,2001-08-24,,,,"Joanna Cassidy (born Joanna Virginia Caskey; August 2, 1945) is an American actress and former model. She began working as a model in the 1960s and made her professional acting debut in 1973, appearin..."
975900,/m/03vyhn,Michael Descanso,M,1.892,,Liam Waite,/m/03jqhb0,/m/0bgchs4,/m/0ks8b0,1971-03-20,2001-08-24,,,,
975900,/m/03vyhn,Tres,M,,/m/064b9n,Rodney A. Grant,/m/0bgchrs,/m/0bgchrw,/m/03ydsb,1959-03-09,2001-08-24,Omaha,Indigenous / Native American,,"Rodney Arnold Grant (born March 9, 1959) is a Native American (Omaha) actor. He is best known for his role as ""Wind In His Hair"" (Lakota: Pahíŋ Otȟáte) in the 1990 film Dances with Wolves."
975900,/m/03vyhn,McSimms,M,1.8,,Peter Jason,/m/0bgchxd,/m/0bgchxh,/m/03d663h,1944-07-22,2001-08-24,,,,Peter Jason is an American character actor. He has appeared in over eighty films and a hundred television series. He played Con Stapleton in the series Deadwood. He was a frequent collaborator with Wa...
975900,/m/03vyhn,Benchley,M,,,Doug McGrath,/m/0bgcj4p,/m/0bgcj4s,/m/02r5d3j,1935-08-13,2001-08-24,,,,"Doug McGrath (born April 13, 1935) is a Canadian actor whose most notable role was that of ""Peter"" in the acclaimed Canadian film Goin' Down the Road (1970) and its sequel Down the Road Again (2011). ..."
975900,/m/03vyhn,Rodale,M,,,Robert Carradine,/m/0bgcj51,/m/0bgcj54,/m/026qxz,1954-03-24,2001-08-24,,,,"Robert Reed Carradine ( KARR-ə-deen; born March 24, 1954) is an American actor. A member of the Carradine family, he made his first appearances on television Western series such as Bonanza and his bro..."
975900,/m/03vyhn,,F,,,Rosemary Forsyth,/m/0cg7d4h,,/m/03wc_yl,1943-07-06,2001-08-24,,,,"Rosemary Forsyth (born July 6, 1943) is a Canadian-born American actress. She made her big screen debut in the 1965 Western film Shenandoah, for which she received Golden Globe Award nomination for Ne..."
3196793,/m/08yl5d,Reporter,F,,,Alice Barrett,/m/0lr37d8,/m/0lr3z8g,/m/034dbm,1956-12-19,2000-02-16,,,,"Alice Barrett (born December 19, 1956) is an American actress."
3196793,/m/08yl5d,FBI Profiler Robert Hanks,M,,,Robert Catrini,/m/0lr37g7,/m/0lr3z93,/m/0gbxsl5,1950-01-05,2000-02-16,,,,
3196793,/m/08yl5d,John Ramsey,M,1.85,,Cliff DeYoung,/m/0lr37f7,/m/0lr3z8x,/m/07jbhb,1945-02-12,2000-02-16,,,,"Clifford Tobin DeYoung (born February 12, 1945) is an American actor and musician."
3196793,/m/08yl5d,,M,,,Gary Dubin,/m/0lr37f2,,/m/02pnjkh,1959-05-05,2000-02-16,,,,"Gary Michael Dubin (May 5, 1959 – October 8, 2016) was an American actor. He was best known for his portrayal of Punky Lazaar, a friend of Danny Partridge on The Partridge Family. He also voiced Toulo..."
3196793,/m/08yl5d,Patsy Ramsey,F,1.63,,Judi Evans,/m/0lr37g2,/m/0lr3z8p,/m/034c1p,1964-07-12,2000-02-16,,,,"Judi Evans  (also credited as Judi Evans Luciano, born July 12, 1964) is an American actress."
3196793,/m/08yl5d,JonBenet Ramsey,F,,,Julia Granstrom,/m/0lr37ds,/m/0lr3z87,/m/08w75d,1994-01-01,2000-02-16,,,,
3196793,/m/08yl5d,,M,,,Brad Greenquist,/m/0lr37dm,,/m/0k1vd2,1959-10-08,2000-02-16,,,,"Brad Greenquist (born October 8, 1959) is an American actor."
3196793,/m/08yl5d,,M,,/m/0x67,Albert Hall,/m/0lr37dy,,/m/01lntp,1937-11-10,2000-02-16,African American,African,,"The Royal Albert Hall is a concert hall on the northern edge of South Kensington, London, England. It has a seating capacity of 5,272."
3196793,/m/08yl5d,,M,,,Chris Krisea,/m/0lr37fr,,/m/0gcdnn4,1949-01-01,2000-02-16,,,,
28463795,/m/0crgdbh,,M,,,Frank Krog,/m/0gct1bn,,/m/053j7xf,1954-10-05,1988-01-01,,,,Hallgeir Frank Krog (5 October 1954 – 23 December 2008) was a Norwegian actor.
28463795,/m/0crgdbh,,F,,,Kristin Kajander,/m/0gct1bv,,/m/0gct1by,1959-02-28,1988-01-01,,,,
28463795,/m/0crgdbh,,M,,,Vidar Sandem,/m/0gct1c5,,/m/0bwh7d8,1947-01-01,1988-01-01,,,,"Vidar Sandem (born 19 February 1947) is a Norwegian actor, playwright and theatre director."
